steps,steps_tile,tiles,moved_tiles
11732,10504,100,95
9024,7863,100,83
10101,8793,100,81
9639,8556,100,74
8835,7867,100,73
18376,16121,100,141
9463,8367,100,78
10168,9174,100,73
12742,11258,100,99
14801,13374,100,102
13659,12131,100,106
13873,12468,100,95
6441,5735,100,56
9466,8430,100,72
5930,5211,100,54
12321,11118,100,90
8221,7281,100,62
11979,10750,100,91
15672,14085,100,108
8040,7141,100,68
11288,10007,100,89
13567,12215,100,91
7966,7208,100,59
7723,6989,100,54
9912,8866,100,82
7697,6874,100,62
16818,15099,100,121
14137,12806,100,96
7099,6232,100,63
45,38,100,3
12814,11425,100,95
8893,8005,100,70
11368,10134,100,90
11071,9880,100,89
11250,10126,100,83
15038,13533,100,111
12424,11090,100,87
7008,6269,100,55
13728,12400,100,98
11083,9890,100,82
13155,11632,100,104
12838,11389,100,111
9505,8393,100,85
16570,15000,100,108
12795,11590,100,94
13039,11570,100,118
18251,16288,100,131
14222,12343,100,107
10787,9454,100,113
15901,14481,100,119
8066,7279,100,61
10794,9704,100,75
12179,10908,100,109
86,65,100,4
6696,5961,100,52
13672,12167,100,99
11067,10036,100,81
15306,13826,100,102
12548,11284,100,97
20349,18468,100,132
14191,12778,100,100
11017,9613,100,95
11334,9967,100,90
6325,5682,100,51
8774,7881,100,70
11394,10183,100,90
9048,8224,100,68
14424,13094,100,105
13525,12108,100,98
13239,11875,100,103
9016,8177,100,64
15421,13770,100,115
10453,9287,100,83
14497,12784,100,117
8640,7709,100,72
16142,14521,100,106
3640,3233,100,41
10232,9301,100,76
26878,23323,100,172
7808,7026,100,59
10439,9103,100,92
12984,11711,100,89
12059,10868,100,92
12954,11552,100,96
13409,11831,100,98
16886,15417,100,107
62,45,100,4
8423,7599,100,68
9856,8719,100,84
10385,9310,100,75
45,39,100,2
11311,10058,100,83
6797,6014,100,60
7076,6366,100,57
7488,6698,100,61
96,72,100,11
13460,12213,100,101
14856,13322,100,113
12319,11107,100,95
12281,10959,100,87
