steps,steps_tile,tiles,moved_tiles
738,615,25,21
718,612,25,21
623,503,25,20
3020,2532,25,47
1498,1215,25,42
609,487,25,24
508,398,25,18
273,203,25,11
15994,14223,25,84
977,801,25,18
443,373,25,14
2057,1462,25,38
412,385,25,9
42,36,25,3
65,51,25,4
593,497,25,17
1034,835,25,31
793,657,25,21
488,369,25,17
1720,1325,25,44
1443,1102,25,41
368,321,25,9
23,19,25,2
33,24,25,1
1423,1146,25,38
880,748,25,18
684,564,25,17
966,791,25,26
1397,1115,25,38
2313,1720,25,58
554,431,25,15
1806,1576,25,23
479,385,25,19
642,545,25,16
1016,818,25,28
3942,3365,25,56
544,456,25,16
370,297,25,13
754,621,25,20
1525,1242,25,30
714,582,25,21
229,208,25,11
1293,1054,25,34
386,325,25,11
650,571,25,13
1169,956,25,33
1131,992,25,17
765,620,25,22
52,39,25,3
784,657,25,19
540,451,25,14
1016,827,25,26
2746,2366,25,36
803,657,25,24
121,94,25,6
1091,913,25,29
127,101,3,6
683,549,25,21
933,790,25,23
556,446,25,19
1534,1231,25,41
1033,879,25,24
3896,3270,25,57
1169,976,25,32
520,431,25,13
551,419,25,17
421,337,25,14
908,671,25,28
604,488,25,18
1423,1149,25,30
15695,13396,25,110
995,833,25,27
1136,925,25,31
22,20,25,1
13,12,25,1
3000,2503,25,48
1332,1008,25,35
44,44,25,0
77,59,25,6
2450,1980,25,39
712,609,25,19
1487,1210,25,39
6,6,25,0
31,25,25,3
16,15,25,1
50,50,25,0
21,19,25,1
773,636,25,20
319,256,25,11
858,725,25,21
618,514,25,16
2060,1721,25,38
5707,4581,25,80
4153,3407,25,58
10004,8270,25,88
39,30,25,3
769,588,25,27
1247,977,25,27
960,831,25,19
61,54,25,7
